PERMNO,date,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,NUMTRD
84398,2004-06-03,112.07000,113.19000,112.09000,38719000,-0.009193,112.30000,112.24000,
84398,2004-06-04,112.71000,113.58000,112.98000,32759900,0.007940,112.91000,112.90000,
84398,2004-06-07,113.42000,114.81000,114.70000,31673600,0.015224,114.65000,114.65000,
84398,2004-06-08,114.17000,114.92000,114.86000,32852400,0.001395,114.85000,114.84000,
84398,2004-06-09,113.72000,114.70000,113.79000,36802500,-0.009316,113.78000,113.78000,
84398,2004-06-10,113.93000,114.35000,114.35000,21718600,0.004921,114.31000,114.30000,
84398,2004-06-14,112.87000,113.85000,113.22000,34634900,-0.009882,113.17000,113.18000,
84398,2004-06-15,113.51000,114.44500,114.02000,37446000,0.007066,113.95000,113.95000,
84398,2004-06-16,113.70000,114.20000,114.00000,26638700,-0.000175,113.99000,113.99000,
84398,2004-06-17,113.33000,114.07000,113.83000,28473900,-0.001491,113.85000,113.86000,
84398,2004-06-18,113.18000,114.22000,113.63000,31803100,0.001878,113.71000,113.72000,
84398,2004-06-21,113.13000,114.14000,113.20000,24740800,-0.003784,113.30000,113.31000,
84398,2004-06-22,112.67000,113.88000,113.77000,37337400,0.005035,113.77000,113.77000,
84398,2004-06-23,113.42000,114.84000,114.75000,35760300,0.008614,114.70000,114.70000,
84398,2004-06-24,114.26000,114.93000,114.39000,39410600,-0.003137,114.42000,114.44000,
84398,2004-06-25,113.68000,114.94000,113.84000,32872700,-0.004808,114.14000,114.12000,
84398,2004-06-28,113.41000,114.61000,113.45000,41277400,-0.003426,113.67000,113.68000,
84398,2004-06-29,113.42000,114.17000,113.92000,28426900,0.004143,113.98000,113.99000,
84398,2004-06-30,113.65000,114.79000,114.53000,52610400,0.005355,114.45000,114.45000,
84398,2004-07-01,112.58000,114.40000,112.94000,57778200,-0.013883,113.20000,113.21000,
84398,2004-07-02,112.60000,113.29000,112.88000,34620500,-0.000531,112.79000,112.79000,
84398,2004-07-06,111.63000,112.45000,111.89000,38710600,-0.008770,111.96000,111.97000,
84398,2004-07-07,111.75000,112.57000,112.22000,30039300,0.002949,112.13000,112.14000,
84398,2004-07-08,111.20000,112.32000,111.42000,45292000,-0.007129,111.22000,111.24000,
84398,2004-07-09,111.38000,111.94000,111.73000,27411400,0.002782,111.63000,111.64000,
84398,2004-07-12,111.00000,112.04000,111.78000,35691300,0.000447,111.80000,111.79000,
84398,2004-07-13,111.60000,112.02000,111.86000,26816100,0.000716,111.88000,111.89000,
84398,2004-07-14,111.12000,112.39000,111.52000,54236100,-0.003040,111.50000,111.51000,
84398,2004-07-15,110.70000,111.91000,110.80000,38432800,-0.006456,111.03000,111.03000,
84398,2004-07-16,110.44000,111.67000,110.71000,40873200,-0.000812,110.52000,110.53000,
84398,2004-07-19,109.99000,110.96000,110.24000,39598100,-0.004245,110.44000,110.45000,
84398,2004-07-20,110.25000,111.90000,111.64000,47290100,0.012700,111.24000,111.24000,
84398,2004-07-21,109.45000,112.06000,109.58000,56264200,-0.018452,109.79000,109.80000,
84398,2004-07-22,108.77000,110.39000,109.88000,72660100,0.002738,110.00000,110.01000,
84398,2004-07-23,108.69000,109.71000,108.96000,49610600,-0.008373,108.95000,108.92000,
84398,2004-07-26,108.21000,109.43000,108.75000,49687900,-0.001927,108.85000,108.87000,
84398,2004-07-27,108.97000,110.11000,109.77000,51311400,0.009379,109.88000,109.89000,
84398,2004-07-28,108.59000,110.37000,110.10000,66079100,0.003006,110.01000,110.01000,
84398,2004-07-29,110.00000,110.87000,110.57000,52353600,0.004269,110.55000,110.56000,
84398,2004-07-30,110.10000,110.90000,110.84000,41589700,0.002442,110.68000,110.66000,
84398,2004-08-02,110.05000,113.61000,111.07000,38802600,0.002075,111.11000,111.12000,
84398,2004-08-03,110.16000,111.06000,110.21000,40988100,-0.007743,110.37000,110.38000,
84398,2004-08-04,109.64000,110.75000,110.20000,40787000,-0.000091,110.29000,110.27000,
84398,2004-08-05,108.27000,110.38000,108.40000,50819300,-0.016334,108.51000,108.52000,
84398,2004-08-06,106.62000,107.96500,106.85000,74748600,-0.014299,106.82000,106.83000,
84398,2004-08-09,106.87000,107.48000,107.00000,37481100,0.001404,107.01000,107.02000,
84398,2004-08-10,107.26000,108.41000,108.22000,56101700,0.011402,108.36000,108.37000,
84398,2004-08-11,107.10000,108.33000,108.16000,53001200,-0.000554,108.10000,108.10000,
84398,2004-08-12,106.63000,107.95000,106.98000,50037800,-0.010910,106.85000,106.85000,
84398,2004-08-13,106.59000,107.35000,107.19000,41640800,0.001963,107.06000,107.06000,
84398,2004-08-16,107.10000,108.64000,108.30000,45747000,0.010355,108.53000,108.52000,
84398,2004-08-17,108.53000,109.28000,108.91000,40775100,0.005633,108.71000,108.73000,
84398,2004-08-18,108.49000,110.17000,110.03000,43204200,0.010284,110.09000,110.10000,
84398,2004-08-19,109.18000,110.02000,109.71000,39968800,-0.002908,109.61000,109.62000,
